ID,Section,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
621,General Science (GS),What planet is known as the Red Planet?,Earth,Jupiter,Mars,Venus,C,Mars is often called the Red Planet due to its reddish appearance.
622,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$65,$75,$60,$70,C,"25% of 80 is 20, so 80 - 20 = 60."
623,Word Knowledge (WK),'Conceal' means to:,Hide,Show,Reveal,Display,A,To conceal is to hide something.
624,Paragraph Comprehension (PC),"From the passage, we can infer that:",It’s raining,The event happened,None of the above,The author disagrees,B,Inference: it happened.
625,Mathematics Knowledge (MK),What is the square root of 81?,7,9,8,10,B,9 × 9 = 81.
626,General Science (GS),What planet is known as the Red Planet?,Mars,Earth,Venus,Jupiter,A,Mars is often called the Red Planet due to its reddish appearance.
627,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",35 mpg,30 mpg,25 mpg,20 mpg,B,375 ÷ 15 = 25 mpg.
628,Word Knowledge (WK),What is the synonym of 'elated'?,Angry,Tired,Sad,Joyful,D,'Elated' means extremely happy or joyful.
629,Paragraph Comprehension (PC),The author’s main purpose is to:,Entertain,Inform,Persuade,Confuse,B,The text provides facts and information.
630,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,2,5,4,3,C,"2x = 6, x = 3."
631,General Science (GS),What gas do plants absorb from the atmosphere?,Carbon Dioxide,Oxygen,Hydrogen,Nitrogen,A,Plants absorb carbon dioxide during photosynthesis.
632,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",45 mph,50 mph,40 mph,60 mph,A,60 ÷ 1.5 = 40 mph.
633,Word Knowledge (WK),What is the synonym of 'elated'?,Sad,Joyful,Angry,Tired,B,'Elated' means extremely happy or joyful.
634,Paragraph Comprehension (PC),The author’s main purpose is to:,Confuse,Persuade,Inform,Entertain,C,The text provides facts and information.
635,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,5,2,4,3,C,"2x = 6, x = 3."
636,General Science (GS),What gas do plants absorb from the atmosphere?,Oxygen,Hydrogen,Carbon Dioxide,Nitrogen,C,Plants absorb carbon dioxide during photosynthesis.
637,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",50 mph,40 mph,45 mph,60 mph,C,60 ÷ 1.5 = 40 mph.
638,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Bright,Colorful,Dull,Clear,C,"'Vivid' means bright or intense, opposite is dull."
639,Paragraph Comprehension (PC),"From the passage, we can infer that:",None of the above,The event happened,It’s raining,The author disagrees,B,Inference: it happened.
640,Mathematics Knowledge (MK),What is 15% of 200?,20,30,35,25,B,15% of 200 = 0.15 × 200 = 30.
641,General Science (GS),What planet is known as the Red Planet?,Earth,Venus,Mars,Jupiter,C,Mars is often called the Red Planet due to its reddish appearance.
642,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",50 mph,45 mph,40 mph,60 mph,B,60 ÷ 1.5 = 40 mph.
643,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Dull,Clear,Bright,Colorful,A,"'Vivid' means bright or intense, opposite is dull."
644,Paragraph Comprehension (PC),"According to the passage, which is true?",B is true,A is false,D is accurate,C is wrong,C,The passage directly supports D.
645,Mathematics Knowledge (MK),What is the square root of 81?,10,7,8,9,D,9 × 9 = 81.
646,General Science (GS),What gas do plants absorb from the atmosphere?,Carbon Dioxide,Hydrogen,Nitrogen,Oxygen,A,Plants absorb carbon dioxide during photosynthesis.
647,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",60 mph,45 mph,50 mph,40 mph,B,60 ÷ 1.5 = 40 mph.
648,Word Knowledge (WK),What is the synonym of 'elated'?,Tired,Joyful,Sad,Angry,B,'Elated' means extremely happy or joyful.
649,Paragraph Comprehension (PC),The author’s main purpose is to:,Inform,Entertain,Persuade,Confuse,A,The text provides facts and information.
650,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,4,5,3,2,A,"2x = 6, x = 3."
651,General Science (GS),What is the basic unit of life?,Organ,Tissue,Cell,Atom,C,The cell is the basic structural and functional unit of all organisms.
652,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",20 mpg,30 mpg,35 mpg,25 mpg,B,375 ÷ 15 = 25 mpg.
653,Word Knowledge (WK),What is the synonym of 'elated'?,Tired,Angry,Sad,Joyful,D,'Elated' means extremely happy or joyful.
654,Paragraph Comprehension (PC),"From the passage, we can infer that:",It’s raining,The event happened,The author disagrees,None of the above,B,Inference: it happened.
655,Mathematics Knowledge (MK),What is the square root of 81?,7,9,10,8,B,9 × 9 = 81.
656,General Science (GS),What planet is known as the Red Planet?,Venus,Jupiter,Earth,Mars,D,Mars is often called the Red Planet due to its reddish appearance.
657,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",35 mpg,20 mpg,30 mpg,25 mpg,C,375 ÷ 15 = 25 mpg.
658,Word Knowledge (WK),'Conceal' means to:,Reveal,Display,Show,Hide,D,To conceal is to hide something.
659,Paragraph Comprehension (PC),"According to the passage, which is true?",D is accurate,C is wrong,B is true,A is false,A,The passage directly supports D.
660,Mathematics Knowledge (MK),What is 15% of 200?,35,20,30,25,C,15% of 200 = 0.15 × 200 = 30.
661,General Science (GS),What is the basic unit of life?,Organ,Tissue,Cell,Atom,C,The cell is the basic structural and functional unit of all organisms.
662,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",25 mpg,35 mpg,20 mpg,30 mpg,D,375 ÷ 15 = 25 mpg.
663,Word Knowledge (WK),What is the synonym of 'elated'?,Joyful,Sad,Tired,Angry,A,'Elated' means extremely happy or joyful.
664,Paragraph Comprehension (PC),"From the passage, we can infer that:",The author disagrees,None of the above,It’s raining,The event happened,D,Inference: it happened.
665,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,5,2,4,3,C,"2x = 6, x = 3."
666,General Science (GS),What planet is known as the Red Planet?,Jupiter,Mars,Venus,Earth,B,Mars is often called the Red Planet due to its reddish appearance.
667,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$65,$70,$60,$75,C,"25% of 80 is 20, so 80 - 20 = 60."
668,Word Knowledge (WK),What is the synonym of 'elated'?,Sad,Angry,Joyful,Tired,C,'Elated' means extremely happy or joyful.
669,Paragraph Comprehension (PC),"According to the passage, which is true?",C is wrong,A is false,D is accurate,B is true,C,The passage directly supports D.
670,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,5,4,3,2,B,"2x = 6, x = 3."
671,General Science (GS),What planet is known as the Red Planet?,Earth,Mars,Venus,Jupiter,B,Mars is often called the Red Planet due to its reddish appearance.
672,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",20 mpg,25 mpg,30 mpg,35 mpg,C,375 ÷ 15 = 25 mpg.
673,Word Knowledge (WK),'Conceal' means to:,Show,Hide,Display,Reveal,B,To conceal is to hide something.
674,Paragraph Comprehension (PC),The author’s main purpose is to:,Inform,Persuade,Confuse,Entertain,A,The text provides facts and information.
675,Mathematics Knowledge (MK),What is 15% of 200?,25,20,35,30,D,15% of 200 = 0.15 × 200 = 30.
676,General Science (GS),What is the basic unit of life?,Tissue,Organ,Cell,Atom,C,The cell is the basic structural and functional unit of all organisms.
677,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",20 mpg,25 mpg,30 mpg,35 mpg,C,375 ÷ 15 = 25 mpg.
678,Word Knowledge (WK),What is the synonym of 'elated'?,Tired,Joyful,Angry,Sad,B,'Elated' means extremely happy or joyful.
679,Paragraph Comprehension (PC),"According to the passage, which is true?",C is wrong,B is true,D is accurate,A is false,C,The passage directly supports D.
680,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,2,3,4,5,C,"2x = 6, x = 3."
681,General Science (GS),What gas do plants absorb from the atmosphere?,Hydrogen,Carbon Dioxide,Nitrogen,Oxygen,B,Plants absorb carbon dioxide during photosynthesis.
682,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$60,$65,$75,$70,A,"25% of 80 is 20, so 80 - 20 = 60."
683,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Colorful,Clear,Bright,Dull,D,"'Vivid' means bright or intense, opposite is dull."
684,Paragraph Comprehension (PC),"According to the passage, which is true?",A is false,B is true,D is accurate,C is wrong,C,The passage directly supports D.
685,Mathematics Knowledge (MK),What is 15% of 200?,35,25,30,20,C,15% of 200 = 0.15 × 200 = 30.
686,General Science (GS),What planet is known as the Red Planet?,Venus,Jupiter,Earth,Mars,D,Mars is often called the Red Planet due to its reddish appearance.
687,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$60,$75,$65,$70,A,"25% of 80 is 20, so 80 - 20 = 60."
688,Word Knowledge (WK),What is the synonym of 'elated'?,Joyful,Angry,Tired,Sad,A,'Elated' means extremely happy or joyful.
689,Paragraph Comprehension (PC),"From the passage, we can infer that:",The event happened,None of the above,It’s raining,The author disagrees,A,Inference: it happened.
690,Mathematics Knowledge (MK),What is 15% of 200?,30,35,20,25,A,15% of 200 = 0.15 × 200 = 30.
691,General Science (GS),What is the basic unit of life?,Tissue,Atom,Organ,Cell,D,The cell is the basic structural and functional unit of all organisms.
692,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$70,$75,$65,$60,D,"25% of 80 is 20, so 80 - 20 = 60."
693,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Bright,Colorful,Clear,Dull,D,"'Vivid' means bright or intense, opposite is dull."
694,Paragraph Comprehension (PC),The author’s main purpose is to:,Confuse,Inform,Entertain,Persuade,B,The text provides facts and information.
695,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,2,4,5,3,B,"2x = 6, x = 3."
696,General Science (GS),What gas do plants absorb from the atmosphere?,Carbon Dioxide,Oxygen,Hydrogen,Nitrogen,A,Plants absorb carbon dioxide during photosynthesis.
697,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",35 mpg,30 mpg,20 mpg,25 mpg,B,375 ÷ 15 = 25 mpg.
698,Word Knowledge (WK),What is the synonym of 'elated'?,Tired,Angry,Joyful,Sad,C,'Elated' means extremely happy or joyful.
699,Paragraph Comprehension (PC),"According to the passage, which is true?",C is wrong,D is accurate,A is false,B is true,B,The passage directly supports D.
700,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,5,3,2,4,D,"2x = 6, x = 3."
701,General Science (GS),What is the basic unit of life?,Organ,Cell,Tissue,Atom,B,The cell is the basic structural and functional unit of all organisms.
702,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",25 mpg,20 mpg,35 mpg,30 mpg,D,375 ÷ 15 = 25 mpg.
703,Word Knowledge (WK),What is the synonym of 'elated'?,Tired,Sad,Joyful,Angry,C,'Elated' means extremely happy or joyful.
704,Paragraph Comprehension (PC),"From the passage, we can infer that:",None of the above,The author disagrees,It’s raining,The event happened,D,Inference: it happened.
705,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,5,2,4,3,C,"2x = 6, x = 3."
706,General Science (GS),What gas do plants absorb from the atmosphere?,Carbon Dioxide,Hydrogen,Oxygen,Nitrogen,A,Plants absorb carbon dioxide during photosynthesis.
707,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$70,$65,$75,$60,D,"25% of 80 is 20, so 80 - 20 = 60."
708,Word Knowledge (WK),What is the synonym of 'elated'?,Joyful,Angry,Tired,Sad,A,'Elated' means extremely happy or joyful.
709,Paragraph Comprehension (PC),"From the passage, we can infer that:",None of the above,The author disagrees,It’s raining,The event happened,D,Inference: it happened.
710,Mathematics Knowledge (MK),What is 15% of 200?,25,30,20,35,B,15% of 200 = 0.15 × 200 = 30.
711,General Science (GS),What is the basic unit of life?,Cell,Tissue,Atom,Organ,A,The cell is the basic structural and functional unit of all organisms.
712,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",25 mpg,35 mpg,20 mpg,30 mpg,D,375 ÷ 15 = 25 mpg.
713,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Dull,Clear,Bright,Colorful,A,"'Vivid' means bright or intense, opposite is dull."
714,Paragraph Comprehension (PC),The author’s main purpose is to:,Persuade,Entertain,Confuse,Inform,D,The text provides facts and information.
715,Mathematics Knowledge (MK),What is the square root of 81?,10,8,9,7,C,9 × 9 = 81.
716,General Science (GS),What is the basic unit of life?,Cell,Atom,Tissue,Organ,A,The cell is the basic structural and functional unit of all organisms.
717,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",40 mph,50 mph,60 mph,45 mph,D,60 ÷ 1.5 = 40 mph.
718,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Dull,Clear,Colorful,Bright,A,"'Vivid' means bright or intense, opposite is dull."
719,Paragraph Comprehension (PC),The author’s main purpose is to:,Entertain,Confuse,Persuade,Inform,D,The text provides facts and information.
720,Mathematics Knowledge (MK),What is the square root of 81?,10,7,9,8,C,9 × 9 = 81.
721,General Science (GS),What gas do plants absorb from the atmosphere?,Carbon Dioxide,Oxygen,Nitrogen,Hydrogen,A,Plants absorb carbon dioxide during photosynthesis.
722,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$65,$60,$70,$75,B,"25% of 80 is 20, so 80 - 20 = 60."
723,Word Knowledge (WK),'Conceal' means to:,Show,Reveal,Display,Hide,D,To conceal is to hide something.
724,Paragraph Comprehension (PC),The author’s main purpose is to:,Inform,Persuade,Entertain,Confuse,A,The text provides facts and information.
725,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,5,4,2,3,B,"2x = 6, x = 3."
726,General Science (GS),What gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,C,Plants absorb carbon dioxide during photosynthesis.
727,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",40 mph,45 mph,50 mph,60 mph,B,60 ÷ 1.5 = 40 mph.
728,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Clear,Colorful,Dull,Bright,C,"'Vivid' means bright or intense, opposite is dull."
729,Paragraph Comprehension (PC),"According to the passage, which is true?",B is true,A is false,C is wrong,D is accurate,D,The passage directly supports D.
730,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,4,2,3,5,A,"2x = 6, x = 3."
731,General Science (GS),What gas do plants absorb from the atmosphere?,Carbon Dioxide,Oxygen,Hydrogen,Nitrogen,A,Plants absorb carbon dioxide during photosynthesis.
732,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",60 mph,50 mph,40 mph,45 mph,D,60 ÷ 1.5 = 40 mph.
733,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Colorful,Bright,Clear,Dull,D,"'Vivid' means bright or intense, opposite is dull."
734,Paragraph Comprehension (PC),"According to the passage, which is true?",A is false,D is accurate,B is true,C is wrong,B,The passage directly supports D.
735,Mathematics Knowledge (MK),What is the square root of 81?,10,8,9,7,C,9 × 9 = 81.
736,General Science (GS),What gas do plants absorb from the atmosphere?,Nitrogen,Carbon Dioxide,Hydrogen,Oxygen,B,Plants absorb carbon dioxide during photosynthesis.
737,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",30 mpg,25 mpg,35 mpg,20 mpg,A,375 ÷ 15 = 25 mpg.
738,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Clear,Colorful,Bright,Dull,D,"'Vivid' means bright or intense, opposite is dull."
739,Paragraph Comprehension (PC),The author’s main purpose is to:,Confuse,Persuade,Inform,Entertain,C,The text provides facts and information.
740,Mathematics Knowledge (MK),What is 15% of 200?,20,30,25,35,B,15% of 200 = 0.15 × 200 = 30.
741,General Science (GS),What is the basic unit of life?,Atom,Cell,Tissue,Organ,B,The cell is the basic structural and functional unit of all organisms.
742,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",60 mph,40 mph,45 mph,50 mph,C,60 ÷ 1.5 = 40 mph.
743,Word Knowledge (WK),What is the synonym of 'elated'?,Tired,Sad,Angry,Joyful,D,'Elated' means extremely happy or joyful.
744,Paragraph Comprehension (PC),"From the passage, we can infer that:",It’s raining,None of the above,The author disagrees,The event happened,D,Inference: it happened.
745,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,5,3,2,4,D,"2x = 6, x = 3."
746,General Science (GS),What is the basic unit of life?,Atom,Cell,Organ,Tissue,B,The cell is the basic structural and functional unit of all organisms.
747,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$65,$60,$70,$75,B,"25% of 80 is 20, so 80 - 20 = 60."
748,Word Knowledge (WK),'Conceal' means to:,Display,Reveal,Show,Hide,D,To conceal is to hide something.
749,Paragraph Comprehension (PC),"From the passage, we can infer that:",It’s raining,None of the above,The author disagrees,The event happened,D,Inference: it happened.
750,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,4,5,2,3,A,"2x = 6, x = 3."
751,General Science (GS),What planet is known as the Red Planet?,Venus,Mars,Earth,Jupiter,B,Mars is often called the Red Planet due to its reddish appearance.
752,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$65,$60,$70,$75,B,"25% of 80 is 20, so 80 - 20 = 60."
753,Word Knowledge (WK),'Conceal' means to:,Show,Hide,Display,Reveal,B,To conceal is to hide something.
754,Paragraph Comprehension (PC),"According to the passage, which is true?",C is wrong,A is false,B is true,D is accurate,D,The passage directly supports D.
755,Mathematics Knowledge (MK),What is 15% of 200?,30,25,35,20,A,15% of 200 = 0.15 × 200 = 30.
756,General Science (GS),What planet is known as the Red Planet?,Venus,Mars,Earth,Jupiter,B,Mars is often called the Red Planet due to its reddish appearance.
757,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$70,$75,$65,$60,D,"25% of 80 is 20, so 80 - 20 = 60."
758,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Dull,Clear,Colorful,Bright,A,"'Vivid' means bright or intense, opposite is dull."
759,Paragraph Comprehension (PC),"From the passage, we can infer that:",The author disagrees,None of the above,It’s raining,The event happened,D,Inference: it happened.
760,Mathematics Knowledge (MK),What is 15% of 200?,35,20,25,30,D,15% of 200 = 0.15 × 200 = 30.
761,General Science (GS),What is the basic unit of life?,Organ,Tissue,Atom,Cell,D,The cell is the basic structural and functional unit of all organisms.
762,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",40 mph,50 mph,60 mph,45 mph,D,60 ÷ 1.5 = 40 mph.
763,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Dull,Bright,Colorful,Clear,A,"'Vivid' means bright or intense, opposite is dull."
764,Paragraph Comprehension (PC),"According to the passage, which is true?",D is accurate,C is wrong,A is false,B is true,A,The passage directly supports D.
765,Mathematics Knowledge (MK),What is 15% of 200?,20,25,35,30,D,15% of 200 = 0.15 × 200 = 30.
766,General Science (GS),What planet is known as the Red Planet?,Mars,Venus,Jupiter,Earth,A,Mars is often called the Red Planet due to its reddish appearance.
767,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",50 mph,60 mph,45 mph,40 mph,C,60 ÷ 1.5 = 40 mph.
768,Word Knowledge (WK),'Conceal' means to:,Reveal,Show,Display,Hide,D,To conceal is to hide something.
769,Paragraph Comprehension (PC),The author’s main purpose is to:,Persuade,Confuse,Inform,Entertain,C,The text provides facts and information.
770,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,3,2,5,4,D,"2x = 6, x = 3."
771,General Science (GS),What planet is known as the Red Planet?,Mars,Jupiter,Venus,Earth,A,Mars is often called the Red Planet due to its reddish appearance.
772,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",60 mph,45 mph,40 mph,50 mph,B,60 ÷ 1.5 = 40 mph.
773,Word Knowledge (WK),What is the synonym of 'elated'?,Joyful,Tired,Angry,Sad,A,'Elated' means extremely happy or joyful.
774,Paragraph Comprehension (PC),"According to the passage, which is true?",B is true,C is wrong,D is accurate,A is false,C,The passage directly supports D.
775,Mathematics Knowledge (MK),What is the square root of 81?,10,9,8,7,B,9 × 9 = 81.
776,General Science (GS),What gas do plants absorb from the atmosphere?,Hydrogen,Carbon Dioxide,Oxygen,Nitrogen,B,Plants absorb carbon dioxide during photosynthesis.
777,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$75,$60,$70,$65,B,"25% of 80 is 20, so 80 - 20 = 60."
778,Word Knowledge (WK),What is the synonym of 'elated'?,Joyful,Angry,Sad,Tired,A,'Elated' means extremely happy or joyful.
779,Paragraph Comprehension (PC),"According to the passage, which is true?",A is false,B is true,D is accurate,C is wrong,C,The passage directly supports D.
780,Mathematics Knowledge (MK),What is 15% of 200?,25,30,20,35,B,15% of 200 = 0.15 × 200 = 30.
781,General Science (GS),What gas do plants absorb from the atmosphere?,Carbon Dioxide,Oxygen,Nitrogen,Hydrogen,A,Plants absorb carbon dioxide during photosynthesis.
782,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$70,$65,$60,$75,C,"25% of 80 is 20, so 80 - 20 = 60."
783,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Clear,Dull,Colorful,Bright,B,"'Vivid' means bright or intense, opposite is dull."
784,Paragraph Comprehension (PC),"According to the passage, which is true?",A is false,D is accurate,C is wrong,B is true,B,The passage directly supports D.
785,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,2,4,5,3,B,"2x = 6, x = 3."
786,General Science (GS),What planet is known as the Red Planet?,Mars,Jupiter,Venus,Earth,A,Mars is often called the Red Planet due to its reddish appearance.
787,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",25 mpg,30 mpg,20 mpg,35 mpg,B,375 ÷ 15 = 25 mpg.
788,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Dull,Bright,Clear,Colorful,A,"'Vivid' means bright or intense, opposite is dull."
789,Paragraph Comprehension (PC),The author’s main purpose is to:,Persuade,Inform,Entertain,Confuse,B,The text provides facts and information.
790,Mathematics Knowledge (MK),What is the square root of 81?,7,10,9,8,C,9 × 9 = 81.
791,General Science (GS),What planet is known as the Red Planet?,Venus,Jupiter,Mars,Earth,C,Mars is often called the Red Planet due to its reddish appearance.
792,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",30 mpg,25 mpg,20 mpg,35 mpg,A,375 ÷ 15 = 25 mpg.
793,Word Knowledge (WK),'Conceal' means to:,Show,Hide,Display,Reveal,B,To conceal is to hide something.
794,Paragraph Comprehension (PC),"According to the passage, which is true?",A is false,B is true,C is wrong,D is accurate,D,The passage directly supports D.
795,Mathematics Knowledge (MK),What is 15% of 200?,20,35,30,25,C,15% of 200 = 0.15 × 200 = 30.
796,General Science (GS),What gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,C,Plants absorb carbon dioxide during photosynthesis.
797,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$75,$70,$60,$65,C,"25% of 80 is 20, so 80 - 20 = 60."
798,Word Knowledge (WK),What is the synonym of 'elated'?,Tired,Joyful,Sad,Angry,B,'Elated' means extremely happy or joyful.
799,Paragraph Comprehension (PC),"From the passage, we can infer that:",It’s raining,The event happened,The author disagrees,None of the above,B,Inference: it happened.
800,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,4,5,3,2,A,"2x = 6, x = 3."
801,General Science (GS),What gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,C,Plants absorb carbon dioxide during photosynthesis.
802,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",60 mph,45 mph,50 mph,40 mph,B,60 ÷ 1.5 = 40 mph.
803,Word Knowledge (WK),What is the synonym of 'elated'?,Joyful,Angry,Sad,Tired,A,'Elated' means extremely happy or joyful.
804,Paragraph Comprehension (PC),"From the passage, we can infer that:",None of the above,The event happened,The author disagrees,It’s raining,B,Inference: it happened.
805,Mathematics Knowledge (MK),What is the square root of 81?,8,9,10,7,B,9 × 9 = 81.
806,General Science (GS),What is the basic unit of life?,Tissue,Cell,Organ,Atom,B,The cell is the basic structural and functional unit of all organisms.
807,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$65,$75,$70,$60,D,"25% of 80 is 20, so 80 - 20 = 60."
808,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Clear,Dull,Bright,Colorful,B,"'Vivid' means bright or intense, opposite is dull."
809,Paragraph Comprehension (PC),The author’s main purpose is to:,Entertain,Confuse,Persuade,Inform,D,The text provides facts and information.
810,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,5,4,2,3,B,"2x = 6, x = 3."
811,General Science (GS),What planet is known as the Red Planet?,Venus,Mars,Jupiter,Earth,B,Mars is often called the Red Planet due to its reddish appearance.
812,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",20 mpg,35 mpg,30 mpg,25 mpg,C,375 ÷ 15 = 25 mpg.
813,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Bright,Dull,Clear,Colorful,B,"'Vivid' means bright or intense, opposite is dull."
814,Paragraph Comprehension (PC),"According to the passage, which is true?",B is true,D is accurate,A is false,C is wrong,B,The passage directly supports D.
815,Mathematics Knowledge (MK),What is the square root of 81?,10,8,9,7,C,9 × 9 = 81.
816,General Science (GS),What is the basic unit of life?,Tissue,Organ,Atom,Cell,D,The cell is the basic structural and functional unit of all organisms.
817,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",45 mph,40 mph,50 mph,60 mph,A,60 ÷ 1.5 = 40 mph.
818,Word Knowledge (WK),What is the synonym of 'elated'?,Angry,Tired,Joyful,Sad,C,'Elated' means extremely happy or joyful.
819,Paragraph Comprehension (PC),"From the passage, we can infer that:",It’s raining,The event happened,None of the above,The author disagrees,B,Inference: it happened.
820,Mathematics Knowledge (MK),What is the square root of 81?,9,10,7,8,A,9 × 9 = 81.
821,General Science (GS),What planet is known as the Red Planet?,Venus,Jupiter,Mars,Earth,C,Mars is often called the Red Planet due to its reddish appearance.
822,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$70,$65,$60,$75,C,"25% of 80 is 20, so 80 - 20 = 60."
823,Word Knowledge (WK),What is the synonym of 'elated'?,Angry,Joyful,Sad,Tired,B,'Elated' means extremely happy or joyful.
824,Paragraph Comprehension (PC),"From the passage, we can infer that:",None of the above,The event happened,It’s raining,The author disagrees,B,Inference: it happened.
825,Mathematics Knowledge (MK),What is the square root of 81?,7,10,8,9,D,9 × 9 = 81.
